"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: base","Param: distribution","Param: indexType","Param: max","Param: seed"
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,3905.312947,40.657700,"ms/op",2,"NORMAL(100000,10)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,320.000000,NaN,"#",2,"NORMAL(100000,10)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,38563260.000000,NaN,"#",2,"NORMAL(100000,10)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,20212.834619,73.849272,"ms/op",2,"NORMAL(100000,10)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,315.000000,NaN,"#",2,"NORMAL(100000,10)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,38552430.000000,NaN,"#",2,"NORMAL(100000,10)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,3710.448839,48.009378,"ms/op",2,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,85.000000,NaN,"#",2,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,38054250.000000,NaN,"#",2,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,3708.144457,54.949297,"ms/op",2,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,85.000000,NaN,"#",2,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,38054250.000000,NaN,"#",2,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,222.977482,1.118354,"ms/op",2,"NORMAL(100000,10)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,30.000000,NaN,"#",2,"NORMAL(100000,10)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,17123800.000000,NaN,"#",2,"NORMAL(100000,10)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,3853.308147,55.498232,"ms/op",2,"UNIFORM(0,100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,320.000000,NaN,"#",2,"UNIFORM(0,100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,107150690.000000,NaN,"#",2,"UNIFORM(0,100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,21601.967078,150.525005,"ms/op",2,"UNIFORM(0,100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,315.000000,NaN,"#",2,"UNIFORM(0,100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,107139860.000000,NaN,"#",2,"UNIFORM(0,100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,3869.120171,47.678468,"ms/op",2,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,85.000000,NaN,"#",2,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,106641680.000000,NaN,"#",2,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,3791.483080,72.840701,"ms/op",2,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,85.000000,NaN,"#",2,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,106641680.000000,NaN,"#",2,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,1476.018062,188.953881,"ms/op",2,"UNIFORM(0,100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,25000.000000,NaN,"#",2,"UNIFORM(0,100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,130799920.000000,NaN,"#",2,"UNIFORM(0,100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,3668.085432,69.784031,"ms/op",2,"UNIFORM(1000000,1100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,320.000000,NaN,"#",2,"UNIFORM(1000000,1100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,132199530.000000,NaN,"#",2,"UNIFORM(1000000,1100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,21695.150853,101.554208,"ms/op",2,"UNIFORM(1000000,1100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,315.000000,NaN,"#",2,"UNIFORM(1000000,1100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,132188700.000000,NaN,"#",2,"UNIFORM(1000000,1100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,3708.551671,66.201722,"ms/op",2,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,105.000000,NaN,"#",2,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,131733840.000000,NaN,"#",2,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,3550.155506,65.822525,"ms/op",2,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,105.000000,NaN,"#",2,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,131733840.000000,NaN,"#",2,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,1447.947110,184.833674,"ms/op",2,"UNIFORM(1000000,1100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,25000.000000,NaN,"#",2,"UNIFORM(1000000,1100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,130799920.000000,NaN,"#",2,"UNIFORM(1000000,1100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,3939.641242,41.907993,"ms/op",2,EXP(0.0001),SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,320.000000,NaN,"#",2,EXP(0.0001),SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,101161390.000000,NaN,"#",2,EXP(0.0001),SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,22029.090006,102.265176,"ms/op",2,EXP(0.0001),GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,315.000000,NaN,"#",2,EXP(0.0001),GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,101150560.000000,NaN,"#",2,EXP(0.0001),GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,3864.170022,29.003020,"ms/op",2,EXP(0.0001),TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,90.000000,NaN,"#",2,EXP(0.0001),TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,100663210.000000,NaN,"#",2,EXP(0.0001),TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,3840.827845,422.779559,"ms/op",2,EXP(0.0001),RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,90.000000,NaN,"#",2,EXP(0.0001),RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,100663210.000000,NaN,"#",2,EXP(0.0001),RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,1114.924459,64.111787,"ms/op",2,EXP(0.0001),BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,26205.000000,NaN,"#",2,EXP(0.0001),BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,116873080.000000,NaN,"#",2,EXP(0.0001),BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,10864.044209,145.420940,"ms/op",4,"NORMAL(100000,10)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,480.000000,NaN,"#",4,"NORMAL(100000,10)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,56746570.000000,NaN,"#",4,"NORMAL(100000,10)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,14892.761245,83.082692,"ms/op",4,"NORMAL(100000,10)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,465.000000,NaN,"#",4,"NORMAL(100000,10)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,56714080.000000,NaN,"#",4,"NORMAL(100000,10)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,10975.436800,103.674342,"ms/op",4,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,135.000000,NaN,"#",4,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,55999300.000000,NaN,"#",4,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,9683.557810,154.899815,"ms/op",4,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,135.000000,NaN,"#",4,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,55999300.000000,NaN,"#",4,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,220.104509,1.220925,"ms/op",4,"NORMAL(100000,10)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,30.000000,NaN,"#",4,"NORMAL(100000,10)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,17123800.000000,NaN,"#",4,"NORMAL(100000,10)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,9969.734383,113.555113,"ms/op",4,"UNIFORM(0,100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,480.000000,NaN,"#",4,"UNIFORM(0,100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,157594930.000000,NaN,"#",4,"UNIFORM(0,100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,15633.071151,21.095978,"ms/op",4,"UNIFORM(0,100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,465.000000,NaN,"#",4,"UNIFORM(0,100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,157562440.000000,NaN,"#",4,"UNIFORM(0,100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,10373.559028,57.092275,"ms/op",4,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,135.000000,NaN,"#",4,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,156847660.000000,NaN,"#",4,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,10218.201581,80.696334,"ms/op",4,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,135.000000,NaN,"#",4,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,156847660.000000,NaN,"#",4,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,1491.501644,196.184431,"ms/op",4,"UNIFORM(0,100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,25000.000000,NaN,"#",4,"UNIFORM(0,100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,130799920.000000,NaN,"#",4,"UNIFORM(0,100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,9688.399118,272.410633,"ms/op",4,"UNIFORM(1000000,1100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,480.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,195168190.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,15598.900768,60.867847,"ms/op",4,"UNIFORM(1000000,1100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,465.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,195135700.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,10098.488288,143.273811,"ms/op",4,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,165.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,194485900.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,10105.289351,158.555106,"ms/op",4,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,165.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,194485900.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,1402.448802,201.920745,"ms/op",4,"UNIFORM(1000000,1100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,25000.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,130799920.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,11256.957705,168.534749,"ms/op",4,EXP(0.0001),SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,480.000000,NaN,"#",4,EXP(0.0001),SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,146513460.000000,NaN,"#",4,EXP(0.0001),SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,18010.560437,56.796168,"ms/op",4,EXP(0.0001),GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,465.000000,NaN,"#",4,EXP(0.0001),GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,146480970.000000,NaN,"#",4,EXP(0.0001),GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,10601.278242,254.102120,"ms/op",4,EXP(0.0001),TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,135.000000,NaN,"#",4,EXP(0.0001),TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,145766190.000000,NaN,"#",4,EXP(0.0001),TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,10032.213203,74.306479,"ms/op",4,EXP(0.0001),RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,135.000000,NaN,"#",4,EXP(0.0001),RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,145766190.000000,NaN,"#",4,EXP(0.0001),RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,1128.922091,53.092116,"ms/op",4,EXP(0.0001),BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,26205.000000,NaN,"#",4,EXP(0.0001),BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,116873080.000000,NaN,"#",4,EXP(0.0001),BUCKETED,10000000,42
